brand	item_id	item_name	products	brand_total	scans	coverage	share
grandessa	peanut_butter	Peanut Butter	4	6	194	0.67	1.0
kettle	potato_chips	Potato Chips	4	5	189	0.8	1.0
kiddylicious	cookies	Cookies	4	5	188	0.8	1.0
st yorre	mineral_water	Mineral Water	2	2	184	1.0	1.0
joyfuel	granola_bar	Granola Bar	2	3	184	0.67	1.0
reflets de france	cookies	Cookies	3	8	183	0.5	0.75
babybio	cookies	Cookies	3	5	182	0.6	1.0
isostar	granola_bar	Granola Bar	4	5	181	1.0	0.8
kaoka	dark_chocolate	Dark Chocolate	4	10	177	0.4	1.0
tyrrell’s	potato_chips	Potato Chips	2	2	177	1.0	1.0
ikea	cookies	Cookies	3	6	176	0.83	0.6
flahavan's	rolled_oats	Rolled Oats	2	2	174	1.0	1.0
cauvin	olive_oil	Olive Oil	3	9	173	0.33	1.0
bovetti	chocolate_hazelnut_spread	Chocolate Hazelnut Spread	2	2	172	1.0	1.0
corny	granola_bar	Granola Bar	5	6	172	1.0	0.83
comptoir du pastier	pasta	Pasta	4	4	172	1.0	1.0
tien shan	pasta	Pasta	3	3	171	1.0	1.0
carr's	cookies	Cookies	3	3	171	1.0	1.0
pural	cookies	Cookies	3	8	168	0.5	0.75
nakd	granola_bar	Granola Bar	4	11	168	0.36	1.0
trader joe's	peanut_butter	Peanut Butter	3	11	168	0.36	0.75
suchard	chocolate_bar	Chocolate Bar	3	3	167	1.0	1.0
garbit	olive_oil	Olive Oil	2	4	165	0.5	1.0
jacob's	cookies	Cookies	4	4	165	1.0	1.0
funny-frisch	potato_chips	Potato Chips	3	5	158	0.6	1.0
gran pavesi	cookies	Cookies	3	3	158	1.0	1.0
sportyfeel	granola_bar	Granola Bar	3	3	158	1.0	1.0
reine de dijon	mustard	Mustard	2	2	158	1.0	1.0
savour bakes	cookies	Cookies	5	9	156	0.56	1.0
evernat	cookies	Cookies	3	8	154	0.5	0.75
leibniz	cookies	Cookies	3	3	154	1.0	1.0
regent's park	cookies	Cookies	2	6	153	0.33	1.0
filippo berio	olive_oil	Olive Oil	3	5	151	0.6	1.0
nestle	breakfast_cereal	Breakfast Cereal	3	5	150	0.6	1.0
m&s food	breakfast_cereal	Breakfast Cereal	4	9	150	0.67	0.67
